epoch,step,loss,lr,time_seconds
124,248868,0.019145,0.00010000,118.75
125,250875,0.017934,0.00010000,118.66
126,252882,0.017841,0.00010000,118.72
127,254889,0.017501,0.00010000,120.07
128,256896,0.017918,0.00010000,121.09
129,258903,0.017720,0.00010000,121.11
130,260910,0.018018,0.00010000,115.21
131,262917,0.017485,0.00010000,115.89
132,264924,0.017391,0.00010000,120.41
133,266931,0.017577,0.00010000,120.31
134,268938,0.016693,0.00010000,118.59
135,270945,0.017391,0.00010000,121.07
136,272952,0.017330,0.00010000,117.11
137,274959,0.017061,0.00010000,118.69
138,276966,0.018086,0.00010000,117.68
139,278973,0.016793,0.00010000,117.21
140,280980,0.016577,0.00010000,116.83
141,282987,0.017535,0.00010000,117.56
142,284994,0.017552,0.00010000,119.42
143,287001,0.017470,0.00010000,119.77
144,289008,0.016685,0.00010000,120.72
145,291015,0.017358,0.00010000,118.83
146,293022,0.016479,0.00010000,119.17
147,295029,0.016950,0.00010000,119.41
148,297036,0.017079,0.00010000,113.94
149,299043,0.017435,0.00010000,114.89
150,301050,0.016719,0.00010000,119.03
151,303057,0.017213,0.00010000,121.02
152,305064,0.015944,0.00010000,120.84
153,307071,0.016653,0.00010000,120.97
154,309078,0.016473,0.00010000,120.72
155,311085,0.016991,0.00010000,118.48
156,313092,0.016979,0.00010000,119.30
157,315099,0.017079,0.00010000,118.60
158,317106,0.016355,0.00010000,119.41
159,319113,0.016718,0.00010000,119.52
160,321120,0.017069,0.00010000,119.20
161,323127,0.016224,0.00010000,114.25
162,325134,0.016160,0.00010000,110.62
163,327141,0.016813,0.00010000,111.17
164,329148,0.016853,0.00010000,109.65
165,331155,0.016210,0.00010000,112.29
166,333162,0.016059,0.00010000,113.06
167,335169,0.016995,0.00010000,112.75
168,337176,0.016428,0.00010000,107.25
169,339183,0.016623,0.00010000,110.60
170,341190,0.015290,0.00010000,109.50
171,343197,0.016213,0.00010000,110.31
172,345204,0.015915,0.00010000,114.28
173,347211,0.016704,0.00010000,111.59
174,349218,0.016916,0.00010000,110.04
175,351225,0.016086,0.00010000,114.33
176,353232,0.016169,0.00010000,111.83
177,355239,0.015612,0.00010000,114.32
178,357246,0.015878,0.00010000,111.03
179,359253,0.015737,0.00010000,111.04
180,361260,0.015322,0.00010000,110.07
181,363267,0.016610,0.00010000,112.05
182,365274,0.015671,0.00010000,109.40
183,367281,0.016098,0.00010000,110.46
184,369288,0.016359,0.00010000,110.88
185,371295,0.015788,0.00010000,108.26
186,373302,0.016367,0.00010000,110.22
187,375309,0.016236,0.00010000,113.83
188,377316,0.015387,0.00010000,116.14
189,379323,0.015125,0.00010000,114.90
190,381330,0.015426,0.00010000,115.01
191,383337,0.016603,0.00010000,114.78
192,385344,0.016199,0.00010000,114.27
193,387351,0.015564,0.00010000,115.78
194,389358,0.016606,0.00010000,111.93
195,391365,0.015261,0.00010000,113.24
196,393372,0.015917,0.00010000,115.85
197,395379,0.015888,0.00010000,114.75
198,397386,0.015888,0.00010000,116.81
199,399393,0.015038,0.00010000,114.59
200,401400,0.015207,0.00010000,114.49
